Name,Phone,Category,Rating,Reviews,Website,Address,SourceURL
Lahore Dental & Medical Centre,,,,,,4.8,https://www.google.com/maps/place/Lahore+Dental+%26+Medical+Centre/data=!4m7!3m6!1s0x391903fd8aeb706b:0x37195b0f448002e7!8m2!3d31.4690629!4d74.3044994!16s%2Fg%2F11xcxy00j!19sChIJa3Driv0DGTkR5wKARA9bGTc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dr Imran's Multispeciality Dental Care,,,,,,5.0,https://www.google.com/maps/place/Dr+Imran%27s+Multispeciality+Dental+Care/data=!4m7!3m6!1s0x39190595f311fa29:0xb711a7066f19dcce!8m2!3d31.4713722!4d74.3739012!16s%2Fg%2F11jkrclvt4!19sChIJKfoR85UFGTkRztwZbwanEbc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dental Clinic by Dr Bilal,,,,,,4.9,https://www.google.com/maps/place/Dental+Clinic+by+Dr+Bilal/data=!4m7!3m6!1s0x39190382b939c9a7:0x36b195da3c200cf!8m2!3d31.4685953!4d74.2664433!16s%2Fg%2F11lgqk9_jt!19sChIJp8k5uYIDGTkRzwDCo10ZawM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Al Aziz Family Dental clinic,,,,,,4.5,https://www.google.com/maps/place/Al+Aziz+Family+Dental+clinic/data=!4m7!3m6!1s0x3919016591358891:0x3e8756b78233e44b!8m2!3d31.4559472!4d74.2805959!16s%2Fg%2F11b7227sld!19sChIJkYg1kWUBGTkRS-QzgrdWhz4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dr. Zeeshan Tahir – DRM Dental,,,,,,5.0,https://www.google.com/maps/place/Dr.+Zeeshan+Tahir+%E2%80%93+DRM+Dental/data=!4m7!3m6!1s0x39190548e2babea9:0xf7a010d711874c9f!8m2!3d31.4728291!4d74.3244772!16s%2Fg%2F11jrwhfdxn!19sChIJqb664kgFGTkRn0yHEdcQoPc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Smile Solutions,,,,,,4.9,https://www.google.com/maps/place/Smile+Solutions/data=!4m7!3m6!1s0x39191bf951ab45cf:0x99f9097989254a41!8m2!3d31.489078!4d74.3257141!16s%2Fg%2F11sf1dw4wq!19sChIJz0WrUfkbGTkRQUoliXkJ-Zk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Hafiz dental clinic,,,,,,4.8,https://www.google.com/maps/place/Hafiz+dental+clinic/data=!4m7!3m6!1s0x3919055b5f5684f7:0x9fcf070ee8bf9e2a!8m2!3d31.4891437!4d74.369171!16s%2Fg%2F11lh6dwng5!19sChIJ94RWX1sFGTkRKp6_6A4Hz58?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Best Dental Clinic,,,,,,5.0,https://www.google.com/maps/place/Best+Dental+Clinic/data=!4m7!3m6!1s0x206e510a7199ba03:0x30b0ed91b5e5a35a!8m2!3d31.533782!4d74.3319176!16s%2Fg%2F11vplxfh9w!19sChIJA7qZcQpRbiARWqPltZHtsDA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
CURE N CARE DENTAL CENTRE,,,,,,4.9,https://www.google.com/maps/place/CURE+N+CARE+DENTAL+CENTRE/data=!4m7!3m6!1s0x391903db15712a6b:0x1261fecf009d696e!8m2!3d31.4752214!4d74.2808619!16s%2Fg%2F11cnpjdgfh!19sChIJaypxFdsDGTkRbmmdAM_-YRI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Cavalry Dental Care,,,,,,4.9,https://www.google.com/maps/place/Cavalry+Dental+Care/data=!4m7!3m6!1s0x391905ba6e16d591:0x41db34e599450dc8!8m2!3d31.5019115!4d74.3618893!16s%2Fg%2F11t6zdgydq!19sChIJkdUWbroFGTkRyA1FmeU020E?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Tooth Care Dental Practice,,,4.9,264,,4.9(264),https://www.google.com/maps/place/Tooth+Care+Dental+Practice/data=!4m7!3m6!1s0x39190916c8b320db:0x199e98f20aa72442!8m2!3d31.4611926!4d74.4135518!16s%2Fg%2F11q2w_52_j!19sChIJ2yCzyBYJGTkRQiSnCvKYnhk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dental Hospital icld,,,4.9,105,,4.9(105),https://www.google.com/maps/place/Dental+Hospital+icld/data=!4m7!3m6!1s0x3919046a17bd998f:0x3f216146b835153a!8m2!3d31.5030476!4d74.3324782!16s%2Fg%2F11bbrn4k38!19sChIJj5m9F2oEGTkROhU1uEZhIT8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dental Surgeons,,,4.8,81,,4.8(81),https://www.google.com/maps/place/Dental+Surgeons/data=!4m7!3m6!1s0x391905385408b2fb:0xe00c8ed82bda5457!8m2!3d31.5268799!4d74.3548952!16s%2Fg%2F11fqc8x6vx!19sChIJ-7IIVDgFGTkRV1TaK9iODOA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
DENTAL HOUSE,,,5.0,145,,5.0(145),https://www.google.com/maps/place/DENTAL+HOUSE/data=!4m7!3m6!1s0x391903dbad150c11:0xeb225f680a7101a2!8m2!3d31.4734692!4d74.2795868!16s%2Fg%2F11c20892dm!19sChIJEQwVrdsDGTkRogFxCmhfIus?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
FAMILY DENTAL CLINIC,,,4.8,24,,4.8(24),https://www.google.com/maps/place/FAMILY+DENTAL+CLINIC/data=!4m7!3m6!1s0x3919068fb0498737:0x32a0ed51666f1507!8m2!3d31.4607592!4d74.3492135!16s%2Fg%2F11g6xs1ftt!19sChIJN4dJsI8GGTkRBxVvZlHtoDI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
The Smile Studio Dental Clinic,,,4.9,209,,4.9(209),https://www.google.com/maps/place/The+Smile+Studio+Dental+Clinic/data=!4m7!3m6!1s0x391907c310d3aabd:0x11d08273376d9498!8m2!3d31.4715881!4d74.372977!16s%2Fg%2F11fn0d1w4h!19sChIJvarTEMMHGTkRmJRtN3OC0BE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Rahman and Rahman Dental Surgeons,,,4.8,169,,4.8(169),https://www.google.com/maps/place/Rahman+and+Rahman+Dental+Surgeons/data=!4m7!3m6!1s0x391907250c57d2f5:0x5dc2c1ebd1afa9c1!8m2!3d31.4715647!4d74.357403!16s%2Fg%2F11hz9d3294!19sChIJ9dJXDCUHGTkRwamv0evBwl0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Ghani Dental Care,,,5.0,226,,5.0(226),https://www.google.com/maps/place/Ghani+Dental+Care/data=!4m7!3m6!1s0x391905da68e06649:0x5569bbe6b4fe8a77!8m2!3d31.4762025!4d74.336153!16s%2Fg%2F11ldkp88pq!19sChIJSWbgaNoFGTkRd4r-tOa7aVU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Aamir's Dental Surgery,,,4.7,109,,4.7(109),https://www.google.com/maps/place/Aamir%27s+Dental+Surgery/data=!4m7!3m6!1s0x391904915e3b1203:0xe5e82f870940dc0a!8m2!3d31.5312069!4d74.3286897!16s%2Fg%2F11xdtrkgb!19sChIJAxI7XpEEGTkRCtxACYcv6OU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
DENTAL SPECIALIST - Dr.Asdaq Asim,,,5.0,91,,5.0(91),https://www.google.com/maps/place/DENTAL+SPECIALIST+-+Dr.Asdaq+Asim/data=!4m7!3m6!1s0x391903a7ad311f3f:0x991cf9d61222c64!8m2!3d31.5473162!4d74.2904844!16s%2Fg%2F11dx8jgg7f!19sChIJPx8xracDGTkRZCwiYZ3PkQk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dentology Dental Clinic,,,4.8,90,,4.8(90),https://www.google.com/maps/place/Dentology+Dental+Clinic/data=!4m7!3m6!1s0x3919016cf0076b0f:0x22fc1110b0ef2da8!8m2!3d31.445911!4d74.280525!16s%2Fg%2F11f_m0532t!19sChIJD2sH8GwBGTkRqC3vsBAR_CI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Bright Smile Dental Aesthetics,,,5.0,233,,5.0(233),https://www.google.com/maps/place/Bright+Smile+Dental+Aesthetics/data=!4m7!3m6!1s0x3919015250ebeec7:0x1a953dddf3179524!8m2!3d31.4528379!4d74.2725064!16s%2Fg%2F11l24h7sms!19sChIJx-7rUFIBGTkRJJUX8909lRo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Tooth Care Experts,,,4.8,105,,4.8(105),https://www.google.com/maps/place/Tooth+Care+Experts/data=!4m7!3m6!1s0x391904bd85f18ccb:0xe73e2bc49074483c!8m2!3d31.5390064!4d74.3276515!16s%2Fg%2F11c3kql14r!19sChIJy4zxhb0EGTkRPEh0kMQrPuc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
DH Dental Clinic,,,4.9,79,,4.9(79),https://www.google.com/maps/place/DH+Dental+Clinic/data=!4m7!3m6!1s0x391903f65a493557:0xac3bd7abf4ce6153!8m2!3d31.4797571!4d74.2804939!16s%2Fg%2F11f5_hczhv!19sChIJVzVJWvYDGTkRU2HO9KvXO6w?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
House of Dentistry,,,4.9,214,,4.9(214),https://www.google.com/maps/place/House+of+Dentistry/data=!4m7!3m6!1s0x391909c075dd6f6d:0x4a35f355f7868a30!8m2!3d31.4618872!4d74.413157!16s%2Fg%2F11vwprqbkj!19sChIJbW_ddcAJGTkRMIqG91XzNUo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
CURE ALL DENTISTRY,,,4.8,171,,4.8(171),https://www.google.com/maps/place/CURE+ALL+DENTISTRY/data=!4m7!3m6!1s0x3919030b73e06573:0x2fae288b9c712d6e!8m2!3d31.4786144!4d74.2892665!16s%2Fg%2F11sm757hl1!19sChIJc2XgcwsDGTkRbi1xnIsori8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Rehman Dental Care,,,4.9,44,,4.9(44),https://www.google.com/maps/place/Rehman+Dental+Care/data=!4m7!3m6!1s0x39190382d65056cf:0x291802f80d2630f4!8m2!3d31.4719332!4d74.2784982!16s%2Fg%2F113hj2pdn!19sChIJz1ZQ1oIDGTkR9DAmDfgCGCk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Sana Samin Dental Care,,,4.7,42,,4.7(42),https://www.google.com/maps/place/Sana+Samin+Dental+Care/data=!4m7!3m6!1s0x391905fd1964107b:0xeb3d194e3bcbbe9d!8m2!3d31.48276!4d74.39574!16s%2Fg%2F11xq_w153!19sChIJexBkGf0FGTkRnb7LO04ZPes?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Premium Dental Care Salam Medical Complex Lahore,,,5.0,81,,5.0(81),https://www.google.com/maps/place/Premium+Dental+Care,+Salam+Medical+Complex,+Lahore/data=!4m7!3m6!1s0x391905f4c6d8a0e7:0x8d2cf3bb0332c3b4!8m2!3d31.5008552!4d74.3325225!16s%2Fg%2F11vdgjwmkl!19sChIJ56DYxvQFGTkRtMMyA7vzLI0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
THE DENTAL HOME,,,5.0,506,,5.0(506),https://www.google.com/maps/place/THE+DENTAL+HOME/data=!4m7!3m6!1s0x3919053e732e89d3:0xc4c8cac38adc917f!8m2!3d31.5463624!4d74.3771538!16s%2Fg%2F11fy53h9dh!19sChIJ04kucz4FGTkRf5HcisPKyMQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dental Dock |Dr Sehrish | Dental Surgeon | Best Dentist in Walton Lahore | 15 Years Experience | Certified Doctor In Lahore,,,4.9,134,,4.9(134),https://www.google.com/maps/place/Dental+Dock+%7CDr+Sehrish+%7C+Dental+Surgeon+%7C+Best+Dentist+in+Walton+Lahore+%7C+15+Years+Experience+%7C+Certified+Doctor+In+Lahore/data=!4m7!3m6!1s0x3919054381f656fb:0x6474bec06a46c242!8m2!3d31.4906852!4d74.3696401!16s%2Fg%2F11sb9ghd52!19sChIJ-1b2gUMFGTkRQsJGasC-dGQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dental Wellness,,,4.8,112,,4.8(112),https://www.google.com/maps/place/Dental+Wellness/data=!4m7!3m6!1s0x391902289f74cbc1:0xd41d5f945e87cb47!8m2!3d31.4669583!4d74.2528749!16s%2Fg%2F11b8t6hltk!19sChIJwct0nygCGTkRR8uHXpRfHdQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dental Pearl Clinic,,,5.0,164,,5.0(164),https://www.google.com/maps/place/Dental+Pearl+Clinic/data=!4m7!3m6!1s0x391901bbaed0e0b7:0x4fa8daacb959acb5!8m2!3d31.4540814!4d74.2837541!16s%2Fg%2F11h3k52pt3!19sChIJt-DQrrsBGTkRtaxZuazaqE8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Waleed Dental and medical Center,,,4.8,69,,4.8(69),https://www.google.com/maps/place/Waleed+Dental+and+medical+Center/data=!4m7!3m6!1s0x3919049f0c647dc3:0x41dfde7d3efcbba1!8m2!3d31.5380766!4d74.316704!16s%2Fg%2F11fxfphftb!19sChIJw31kDJ8EGTkRobv8Pn3e30E?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dr. Faizan's dental clinic and implant center,,,4.9,53,,4.9(53),https://www.google.com/maps/place/Dr.+Faizan%27s+dental+clinic+and+implant+center/data=!4m7!3m6!1s0x39190300775234b3:0xa203bc989481af23!8m2!3d31.5318014!4d74.3011966!16s%2Fg%2F11z48cvyw9!19sChIJszRSdwADGTkRI6-BlJi8A6I?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
DentoCorrect Clinic - Gulberg Lahore,,,4.7,12,,4.7(12),https://www.google.com/maps/place/DentoCorrect+Clinic+-+Gulberg+Lahore/data=!4m7!3m6!1s0x39190584a24419ef:0xf9d4759111d004fa!8m2!3d31.5225486!4d74.3493118!16s%2Fg%2F11z1f1nyy8!19sChIJ7xlEooQFGTkR-gTQEZF11Pk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
The Dentist,,,5.0,192,,5.0(192),https://www.google.com/maps/place/The+Dentist/data=!4m7!3m6!1s0x3919056e123ac031:0x228b87b4880c9fd4!8m2!3d31.5025579!4d74.434863!16s%2Fg%2F11ny55zkzm!19sChIJMcA6Em4FGTkR1J8MiLSHiyI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Family Smiles Dental Clinic,,,5.0,84,,5.0(84),https://www.google.com/maps/place/Family+Smiles+Dental+Clinic/data=!4m7!3m6!1s0x391903daa45cebbb:0x5daec1de2b52e7d7!8m2!3d31.5335277!4d74.3041317!16s%2Fg%2F11t2_7f1_3!19sChIJu-tcpNoDGTkR1-dSK97Brl0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Nusrat Munir Dental Complex,,,4.9,81,,4.9(81),https://www.google.com/maps/place/Nusrat+Munir+Dental+Complex/data=!4m7!3m6!1s0x3919010027c6edf9:0x85fb6d865070cb91!8m2!3d31.4587611!4d74.3031779!16s%2Fg%2F11y3w7lq6v!19sChIJ-e3GJwABGTkRkctwUIZt-4U?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Teeth n Jaw Dental & Maxillofacial Care By Dr Ijaz ur rehman,,,4.9,147,,4.9(147),https://www.google.com/maps/place/Teeth+n+Jaw+Dental+%26+Maxillofacial+Care+By+Dr+Ijaz+ur+rehman/data=!4m7!3m6!1s0x39190391daf55eff:0xb7d0e8a95f55c6f3!8m2!3d31.4558488!4d74.2781262!16s%2Fg%2F11j21906dj!19sChIJ_1712pEDGTkR88ZVX6no0Lc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dental Works and Aesthetics,,,4.8,96,,4.8(96),https://www.google.com/maps/place/Dental+Works+and+Aesthetics/data=!4m7!3m6!1s0x391904117f05d647:0xaf432cfdbe369de1!8m2!3d31.4880808!4d74.3267537!16s%2Fg%2F11c0qs0x6q!19sChIJR9YFfxEEGTkR4Z02vv0sQ68?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Ideal Smile Dentistry,,,4.8,316,,4.8(316),https://www.google.com/maps/place/Ideal+Smile+Dentistry/data=!4m7!3m6!1s0x3919066d9ff4cf65:0x81f881a47c69baac!8m2!3d31.4643445!4d74.3859928!16s%2Fg%2F11bwn2w9gn!19sChIJZc_0n20GGTkRrLppfKSB-IE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Wahdat Dental Care Centre,,,4.9,70,,4.9(70),https://www.google.com/maps/place/Wahdat+Dental+Care+Centre/data=!4m7!3m6!1s0x3919052cee913a5b:0x37dec3648051257!8m2!3d31.5203505!4d74.3213683!16s%2Fg%2F11t95hvx_z!19sChIJWzqR7iwFGTkRVxIFSDbsfQM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dental Experts,,,4.3,74,,4.3(74),https://www.google.com/maps/place/Dental+Experts/data=!4m7!3m6!1s0x391903d4a305f499:0x47431f98c102f92e!8m2!3d31.4715762!4d74.2695056!16s%2Fg%2F11clysqk__!19sChIJmfQFo9QDGTkRLvkCwZgfQ0c?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dental Trends,,,5.0,68,,5.0(68),https://www.google.com/maps/place/Dental+Trends/data=!4m7!3m6!1s0x39190377ac192d0f:0x1bbb5f91ebc769c3!8m2!3d31.5413403!4d74.3077832!16s%2Fg%2F11h6xm0_qd!19sChIJDy0ZrHcDGTkRw2nH65Ffuxs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Al Mairaj Dental & Cosmetics (AMDC),,,4.8,150,,4.8(150),https://www.google.com/maps/place/Al+Mairaj+Dental+%26+Cosmetics+%28AMDC%29/data=!4m7!3m6!1s0x3919059f1ab46d0f:0x13aae198cdde2f2f!8m2!3d31.4737558!4d74.3788445!16s%2Fg%2F11l3p2kgrr!19sChIJD220Gp8FGTkRLy_ezZjhqhM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
De'Dentiste',,,4.9,348,,4.9(348),https://www.google.com/maps/place/De%27Dentiste%27/data=!4m7!3m6!1s0x39190412d7a6b0d7:0xbada412eb6b3c615!8m2!3d31.4940032!4d74.3250759!16s%2Fg%2F1tmckmc6!19sChIJ17Cm1xIEGTkRFcazti5B2ro?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Tiny Tooth Dental Clinic,,,4.8,49,,4.8(49),https://www.google.com/maps/place/Tiny+Tooth+Dental+Clinic/data=!4m7!3m6!1s0x391905f78727e73d:0xc93c1f5fd8edeabc!8m2!3d31.5038354!4d74.318149!16s%2Fg%2F11v05t38dd!19sChIJPecnh_cFGTkRvOrt2F8fPMk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Advanced Dental Practice Lahore.,,,4.2,70,,4.2(70),https://www.google.com/maps/place/Advanced+Dental+Practice,+Lahore./data=!4m7!3m6!1s0x391904f9111063b9:0xde5e842210aba332!8m2!3d31.5230819!4d74.3509478!16s%2Fg%2F11cfjhlqc!19sChIJuWMQEfkEGTkRMqOrECKEXt4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Century Healthcare: Dental and Health services,,,4.7,100,,4.7(100),https://www.google.com/maps/place/Century+Healthcare:+Dental+and+Health+services/data=!4m7!3m6!1s0x39190391c6edacfb:0x295caeb5396b4086!8m2!3d31.5259482!4d74.291837!16s%2Fg%2F11np8829k2!19sChIJ-6ztxpEDGTkRhkBrObWuXCk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Smile Line Clinic,,,4.7,76,,4.7(76),https://www.google.com/maps/place/Smile+Line+Clinic/data=!4m7!3m6!1s0x391905214db0a43d:0xfefcbcaf29b6d87f!8m2!3d31.548883!4d74.3639402!16s%2Fg%2F1hf3tc5d7!19sChIJPaSwTSEFGTkRf9i2Ka-8_P4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Laser Dental Solutions and implant center by Dr Abid Naeem,,,5.0,207,,5.0(207),https://www.google.com/maps/place/Laser+Dental+Solutions+and+implant+center+by+Dr+Abid+Naeem/data=!4m7!3m6!1s0x391903dddd46c803:0x5d856ffc52739ba1!8m2!3d31.4704319!4d74.2741102!16s%2Fg%2F11hc2f_pw6!19sChIJA8hG3d0DGTkRoZtzUvxvhV0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Ivory Dental Clinic (Dr.Nomair & Associates),,,4.9,237,,4.9(237),https://www.google.com/maps/place/Ivory+Dental+Clinic+%28Dr.Nomair+%26+Associates%29/data=!4m7!3m6!1s0x391909912d590b6d:0x2d5470c4dd378d4b!8m2!3d31.4691674!4d74.4394874!16s%2Fg%2F11j7yj1lgz!19sChIJbQtZLZEJGTkRS4033cRwVC0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Perfect Teeth,,,4.7,212,,4.7(212),https://www.google.com/maps/place/Perfect+Teeth/data=!4m7!3m6!1s0x3919017cec500863:0x872ca58b911c1992!8m2!3d31.4613125!4d74.2746875!16s%2Fg%2F11c30xx2jm!19sChIJYwhQ7HwBGTkRkhkckYulLIc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
